Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,37.93882062,36.86305768,29.39119563,30.78796707,28.28973831,29.79896553,24.69382301,29.13592844,26.07825278,23.57796869,23.64363865,22.58745316,22.00929802,20.54696588,20.96589761,
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,35.90078991,39.29529516,51.64187027,54.64097649,53.62098061,55.81214471,35.14885269,30.18670244,27.0722161,24.38560683,23.49864212,21.94827263,21.60039468,21.46859751,20.18078929,18.61080499,17.52964382,17.12855059,16.8370881,16.79440198,17.95585567,18.22676552,18.76679889,19.56517557,19.99015344,19.78021824,19.90672379,18.96194984
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.38143207,9.22439306,11.20015268,11.20068626,9.232316394,9.544860947,10.80933823,8.729587829,11.47500357,11.10697532,8.395058708,9.749430453,9.224986381,9.810553016,9.440471616,7.69131219,7.543077641,7.570631122,6.586677504,9.343366551,8.466441856,8.110347356,8.770688039,9.851117934,10.28639951,11.58603316,12.29577969,12.26489642
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,0.487497832,0.459110473,0.406166344,0.444193488,0.442399276,0.405274295,0.382391576,0.399345782,0.442280559,0.43493937,0.499694105,0.534685933,0.612256498,0.577337773,0.496149201,0.470194705,0.492101388,
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,16.39071305,28.57142857,7.894736842,10.54421769,6.075800029,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.780738638,1.780307058,1.802680609,1.745431468,1.57653988,1.643054474,1.615436913,1.718979214,1.666680575,1.667635776,1.589539743,1.612725299,1.730291789,1.749526585,1.609971056,1.757817673,1.653204551,1.607652611,1.549311488,1.496707093,1.627626225,1.925529231,1.88087874,1.998156663,1.570678402,1.674554131,1.642376541,1.630647341
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.123676208,6.71649176,5.990787091,5.136826313,5.082640615,5.35147322,5.610881509,5.221966885,5.252748594,4.457839399,4.679917137,4.568533114,10.20666709,10.3282173,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.35390414,5.60797454
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.98091831,23.61651399,28.48576679,49.25576224,43.46296693,40.69077289,34.79504767,29.41324163,30.84724892,26.95911714,23.21347903,25.59000229,23.44903017,21.52904143,22.59552606,19.09592257,18.71557898,18.24986281,16.3084468,16.91179574,16.99914863,20.32534825,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.93797834
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,0.50398992,0.507614213,0.48582996,0.437636761,0.40254948,0.383292096,0.410021828,0.405263479,0.402353104,0.40131228,0.391614142,0.38657879,0.39359179,0.401578207,0.381582396,0.448459566,0.449380715,0.459125112,,,,,,
