,year,CCodeA3,ccode,X,CCodeA3.x,Country.Name.x,GDP,GDPGrowth,polity2,durable,trade.in.GDP,UNCTAD.FDI.out,UNCTAD.FDI.outstock,UNCTAD.FDI.in,UNCTAD.FDI.in.stock,GDP.PerCapita,GDP.PerCapita.PPP,ExPriskShort,ExPriskLongMed,ExPriskSpecial,CommRisk,WarRiskFDI,FDIExpro,FDITransfer,PRS_VA,PRS_PV,PRS_GE,PRS_RQ,PRS_RL,PRS_CC,vae,pve,gee,rqe,rle,cce,tech.ex,TaxRate,icrg_qog,ti_cpi,gwf_regimetype,gwf_party,gwf_personal,gwf_military,gwf_monarch,CHN,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_partipdem,v2x_egaldem,ccodecow,ccodealp,imf_ab,imf_exp,imf_gd,imf_gdpgr,imf_gns,imf_inflch,imf_inv,imf_nd,imf_ppgdp,imf_ue,bti_cps,unna_er,unna_gcf,hf_taxbur,ictd_taxcorp,ictd_taxgs,ictd_taxinc,ictd_taxind,ictd_taxindirect,ictd_taxpaywf,ictd_taxprop,ictd_taxtrade,bmr_dem,dpi_checks,gir_ga,sgi_qdai,sgi_qdcr,sgi_qdrl,no_ufs,p_autoc,p_democ,dpi_pr,iaep_evp,iaep_lap,iaep_lrit,iaep_lvp,h_polcon5,p_fragment,p_parcomp,p_parreg,p_xconst,p_xrcomp,p_xropen,h_lfup,ht_partsz,jw_avgballot,jw_avgballot2,jw_avgvote,jw_avgvote2,jw_indy,jw_indy2,jw_mdist,jw_mdist2,jw_mmdballot,jw_mmdballot2,jw_oneparty,jw_persr,jw_smdballot,jw_smdvote,vi_rcbg,vi_rcbm,vi_rsg,vi_rsm,vi_udr,vi_wcoord,wdi_agedr,vi_wgi,wdi_empagr,wdi_empind,wdi_empser,wdi_lfpedua,wdi_lfpedub,wdi_lfpedui,wdi_oilrent,wef_elec,wef_qair,wef_qoi,wef_qport,wef_qrail,wef_qroad,gcb_ppa,gcb_pparl,PA.NUS.FCRF,PX.REX.REER,TM.VAL.AGRI.ZS.UN,TM.VAL.FOOD.ZS.UN,TM.VAL.FUEL.ZS.UN,TM.VAL.MANF.ZS.UN,TM.VAL.MMTL.ZS.UN,TM.VAL.MRCH.CD.WT,TM.VAL.INSF.ZS.WT,TM.VAL.OTHR.ZS.WT,TM.VAL.SERV.CD.WT,TX.VAL.INSF.ZS.WT,TX.VAL.OTHR.ZS.WT,TX.VAL.SERV.CD.WT,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS
1,1990,ARG,160,1,ARG,Argentina,1.41352E+11,-2.398959219,7,7,14.990859,34.90298625,6057.272006,1836,9084.648157,4318.7747,6990.554045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55555558,NA,NA,0,0,0,0,0,0.825262958,0.594987682,0.729025893,0.566504409,0.6560074,160,ARG,3.045,NA,NA,-1.338,15.958,NA,11.712,NA,NA,7.6,NA,0.487589083,12.81741639,NA,NA,7.104671396,0.511350555,0.015392852,8.842189801,0,0.865399545,1.392049257,1,5,NA,NA,NA,NA,3,0,7,1,1,1,1,1,0.390200533,NA,4,2,5,3,4,0.651515152,0.44444445,0,0,0,0,0,1,5.291666667,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,65.74592795,NA,NA,NA,NA,NA,NA,NA,1.912680532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1990,BDI,516,69,BDI,Burundi,1132101253,3.49982214,-7,24,35.64813955,0.00583923,0.345947961,1.25543,30.18837,209.0516152,702.8798967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,military,0,0,1,0,0,0.100832259,0.096816165,0.198979588,0.066857121,0.14877625,516,BDI,-14.56,20.264,NA,3.458,-4.677,6.991,31.877,NA,NA,NA,NA,171.2554167,15.09283168,NA,NA,6.263489998,3.325381334,NA,8.881453254,NA,NA,2.452726916,0,1,NA,NA,NA,NA,1,7,0,NA,.e,.e,NA,.e,0,NA,1,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.1735632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1990,BFA,439,97,BFA,Burkina Faso,3101301781,-0.60292848,-7,10,35.42265044,-0.55094042,3.717753524,0.46,38.67,351.9793229,545.7262408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5138889,NA,personal,0,1,0,0,0,0.179716991,0.102293376,0.180858781,0.11449872,0.225386811,439,BFA,-4.219,15.877,NA,-0.603,14.027,-0.807,18.247,NA,NA,NA,NA,272.264788,18.91283752,NA,0.532938564,2.131754256,2.36861584,1.539600296,6.430792006,0.213175426,0.035529238,4.216136195,0,1,NA,NA,NA,NA,1,7,0,NA,1,1,3,1,0,NA,1,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.1677828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1990,BGD,771,125,BGD,Bangladesh,31598341234,5.622258162,-5,8,18.96650201,0.5,45.031556,3.23878,477.48001,297.5679945,832.4340817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483968406,NA,0.060185187,NA,personal,0,1,0,0,0,0.352137453,0.186861732,0.146256224,0.226603599,0.182916084,771,BGD,-2.672,10.774,NA,4.603,19.278,10.522,17.508,NA,NA,NA,NA,34.56880833,18.28234958,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,5,0,0,1,1,3,1,0,NA,2,4,2,0,0,NA,0.8389262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33791497,NA,NA,NA,NA,NA,NA,NA,0.010371793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1990,BGR,355,153,BGR,Bulgaria,20632090909,-9.117377097,8,0,69.84706085,-2.506,124.443,4,112.27,2366.529821,5190.796795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6111111,NA,party-based,1,0,0,0,0,0.326124011,0.316673812,0.346450206,0.189987354,0.326558605,355,BGR,-8.65,NA,NA,-9.1,32.631,23.9,34.411,NA,NA,2.9,NA,0.00219,30.40383344,NA,NA,9.340909091,23.86363636,4.340909091,10.70454545,NA,0.272727273,NA,1,1,NA,NA,NA,NA,1,0,8,NA,0,1,3,1,0.745187595,NA,3,2,7,3,4,NA,0.52749997,1,NA,0.5,NA,1,NA,4.071428571,NA,0,NA,0,10,2,1,0,1,0,0,81.24242424,NA,50.35438512,5,18.48999977,44.18999863,37.31999969,NA,NA,NA,0.098165496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1990,BOL,145,195,BOL,Bolivia,4867582620,4.63578591,9,8,46.70327322,1.1,7.1,67,1025.7,709.9488612,2396.114889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16666667,NA,NA,0,0,0,0,0,0.671024459,0.430426048,0.534072581,0.345413398,0.411868723,145,BOL,-4.021,22.776,NA,4.636,8.512,17.12,12.532,NA,NA,NA,NA,3.17265,12.53193004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,1,0,9,1,1,1,1,0,0.209592248,NA,4,2,7,3,4,0.735042735,0.27210885,0,0,0,0,0,1,14.44444444,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,84.14546759,NA,1.230000019,25.14999962,73.25,NA,NA,NA,2.586291142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1990,BRA,140,223,BRA,Brazil,4.61952E+11,-3.102355949,8,5,15.16175556,624.6,41044.136,988.8,37143.412,3093.037479,6686.227659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.460878493,NA,0.69444448,NA,NA,0,0,0,0,0,0.835851275,0.70513516,0.661226985,0.573410806,0.521326101,140,BRA,-0.797,NA,NA,-4.168,18.94,NA,20.447,NA,NA,4.28,NA,2.96E-05,19.999852,NA,2.016666667,NA,4.908333333,0.333333333,0.6,0.416666667,0.408333333,NA,1,4,NA,NA,NA,NA,3,0,8,1,1,1,1,1,0.840360429,NA,4,2,6,3,4,0.578247261,0.22427984,2,2,1,1,1,1,20.95833333,1.5,2,2,0,7,NA,NA,2,2,1,2,26.69626056,NA,65.29517177,NA,22.84000015,22.69000053,54.47000122,NA,NA,NA,0.764645236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1990,BRN,835,251,BRN,Brunei Darussalam,3520551724,1.089420535,NA,NA,99.07538003,0.139,0.139,7,33.12,13604.15683,54726.56428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79166669,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,835,BRN,60.271,40.33,0,1.085,NA,2.133,NA,NA,NA,NA,NA,1.812533333,27.87162247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,,,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.42399507,NA,NA,NA,NA,NA,NA,NA,27.85624544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1990,BWA,571,279,BWA,Botswana,3790567052,6.772821949,7,24,104.8473204,7.36373067,447.2474652,95.9,1309.3,2750.950026,5242.045649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80555552,NA,party-based,1,0,0,0,0,0.707848477,0.600754071,0.609223301,0.477932538,0.486921231,571,BWA,-0.507,38.72,NA,8.787,46.369,11.4,39.082,NA,NA,NA,NA,1.860465833,36.90919393,NA,32.41633579,0.957175269,19.72206466,1.486103233,7.743902439,NA,0.036868973,6.78672717,1,3,NA,NA,NA,NA,1,0,7,0,1,1,1,1,0.688802834,NA,4,2,6,2,4,NA,0.91176468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.91215024,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1990,CAF,482,307,CAF,Central African Republic,1440711396,-2.147528066,-7,30,42.94298352,3.79043,17.90046,0.69785,95.38785,490.0745619,597.8928698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,military-personal,0,0,1,0,0,0.23272435,0.125791796,0.119617685,0.099067885,0.192433809,482,CAF,-5.67,22.008,NA,-2.12,8.427,-0.203,14.489,NA,NA,NA,NA,272.264788,13.68350727,NA,0.691364853,3.333366255,2.567926597,1.037047279,7.580321781,NA,NA,4.246955525,0,1,NA,NA,NA,NA,1,7,0,NA,1,1,1,1,0,NA,1,4,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.48046884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
